,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,centroid_lat,centroid_lon,city,avg_d_speed_mbps,avg_u_speed_mbps
266,7371,549,40,1,1,31.248030015285604,30.89630126953125,Kafr ash Shaykh,7.371,0.549
267,4840,725,23,2,1,31.248030015285604,30.90179443359375,Kafr ash Shaykh,4.84,0.725
268,9721,352,24,1,1,31.243333629368408,30.89630126953125,Kafr ash Shaykh,9.721,0.352
269,10090,120,26,1,1,31.243333629368408,30.90179443359375,Kafr ash Shaykh,10.09,0.12
270,5685,2196,21,13,2,31.248030015285604,30.90728759765625,Kafr ash Shaykh,5.685,2.196
271,4064,337,77,1,1,31.243333629368408,30.912780761718757,Kafr ash Shaykh,4.064,0.337
272,34396,14159,8,5,1,31.233940156921804,30.86883544921875,Kafr ash Shaykh,34.396,14.159
273,10556,2104,27,3,3,31.233940156921804,30.874328613281257,Kafr ash Shaykh,10.556,2.104
274,7597,269,30,4,1,31.233940156921804,30.890808105468757,Kafr ash Shaykh,7.597,0.269
275,16722,2359,10,5,1,31.2245457504586,30.88531494140625,Kafr ash Shaykh,16.722,2.359
276,14536,743,24,1,1,31.210452389832,30.857849121093743,Kafr ash Shaykh,14.536,0.743
277,14304,706,23,1,1,31.2057541361213,30.863342285156246,Kafr ash Shaykh,14.304,0.706
278,22776,6508,12,7,2,31.219848197020653,30.87982177734375,Kafr ash Shaykh,22.776,6.508
279,15465,4617,6,1,1,31.219848197020653,30.88531494140625,Kafr ash Shaykh,15.465,4.617
280,4003,2956,7,2,1,31.21515041013845,30.890808105468743,Kafr ash Shaykh,4.003,2.956
281,7041,564,75,26,7,31.238637009907144,30.89630126953125,Kafr ash Shaykh,7.041,0.564
282,1945,399,9,1,1,31.2292430704323,30.896301269531246,Kafr ash Shaykh,1.945,0.399
283,11001,2889,25,2,2,31.238637009907144,30.93475341796875,Kafr ash Shaykh,11.001,2.889
284,4779,1502,57,5,1,31.233940156921804,30.93475341796875,Kafr ash Shaykh,4.779,1.502
285,830,430,16,1,1,31.21515041013845,30.89630126953125,Kafr ash Shaykh,0.83,0.43
286,15596,2217,16,14,5,31.2057541361213,30.91278076171875,Kafr ash Shaykh,15.596,2.217
287,17197,1741,8,4,1,31.210452389832,30.918273925781254,Kafr ash Shaykh,17.197,1.741
288,8150,5484,66,3,2,31.210452389832,30.923767089843743,Kafr ash Shaykh,8.15,5.484
289,8310,3976,6,1,1,31.2057541361213,30.918273925781254,Kafr ash Shaykh,8.31,3.976
290,24426,2936,11,11,3,31.20105564902629,30.58868408203125,Disūq,24.426,2.936
291,26424,4303,6,1,1,31.196356928567003,30.588684082031246,Disūq,26.424,4.303
292,11416,1102,100,5,3,31.1869587876357,30.59417724609375,Disūq,11.416,1.102
293,8920,2274,39,59,8,31.182259367203645,30.594177246093743,Disūq,8.92,2.274
294,25808,2350,23,3,2,31.177559713487447,30.59417724609376,Disūq,25.808,2.35
295,26874,8117,18,20,5,31.182259367203645,30.599670410156254,Disūq,26.874,8.117
296,29942,14851,7,3,1,31.168159706282704,30.59967041015625,Disūq,29.942,14.851
297,21691,3764,7,1,1,31.182259367203645,30.62713623046875,Disūq,21.691,3.764
298,24637,3414,33,33,3,31.177559713487447,30.62713623046875,Disūq,24.637,3.414
299,31981,4774,6,1,1,31.196356928567003,30.64910888671875,Disūq,31.981,4.774
300,1171,1884,99,1,1,31.196356928567003,30.654602050781257,Disūq,1.171,1.884
301,12505,432,6,1,1,31.182259367203645,30.63262939453125,Disūq,12.505,0.432
302,22115,10955,6,18,2,31.177559713487447,30.643615722656254,Disūq,22.115,10.955
